id,parent,날짜,자산,분류,소분류,내용,금액,수입/지출,메모
324,,2023-06-18 1:43,은행,교육,,정처기 휴학증명서 비용,1500,지출,
325,,2023-06-17 1:41,은행,식비,,정만빙수-가족(17790원),20000,지출,
326,327,2023-06-17 1:41,은행,식비,,안테이쿠-짝아자두둥이(16일),26000,지출,
327,,2023-06-16 1:41,일정,약속,,안테이쿠,26000,,
328,,2023-06-14 1:40,은행,기타,,양평우리밀축제 돈 낸 것보다 더 줌 ㅋㅋ,15000,수입,
329,,2023-06-13 1:39,은행,문화생활,,네이버플러스(4900원),10000,지출,
330,,2023-06-11 1:38,은행,문화생활,,넷플,4250,지출,
331,,2023-06-10 1:37,은행,식비,,오늘도빙수-지민,10000,지출,
332,,2023-06-10 1:35,은행,식비,,마라샹궈-지민,7000,지출,
333,,2023-06-09 1:37,은행,문화생활,,봄툰충전,11900,지출,
334,,2023-06-08 1:36,은행,식비,,"청년다방배달-엄마지민(네이버페이, 21700원)",30000,지출,
335,340,2023-06-07 1:35,은행,식비,,카페오늘의바다-엄마,19000,지출,
336,340,2023-06-06 1:35,은행,식비,,편의점맥주-엄마,4200,지출,
337,,2023-06-05 1:33,은행,기타,,해비타트,10000,지출,
338,340,2023-06-05 1:33,은행,식비,,(제주)쉬리니케이크-엄마,18000,지출,
339,342,2023-06-05 1:33,은행,식비,,천진영감-영수몽실비차(4일),15750,지출,
340,,2023-06-05 1:33,일정,여행,,엄마랑 제주도,41200,,
341,342,2023-06-04 1:33,은행,식비,,카페플레터스-영수,10300,지출,
342,,2023-06-04 1:33,일정,약속,,영수,26050,,
343,,2023-06-03 1:32,은행,교육,,정처기 실기 교재,30000,지출,
344,,2023-06-01 10:54,은행,용돈,,,300000,수입,
345,346,2023-06-01 1:31,은행,식비,,연어빙수노래방-쮸기티밀둥이,23650,지출,
346,,2023-06-01 1:31,일정,약속,,연어팟,23650,,
347,,2023-05-29 11:27,은행,문화생활,,봄툰충전,11900,지출,
348,349,2023-05-25 11:27,은행,식비,,몽실이집,7325,지출,
349,,2023-05-25 11:27,일정,약속,,몽하,7325,,
350,,2023-05-23 11:25,은행,식비,,메가커피-엄마지민,3900,지출,
351,,2023-05-23 11:25,은행,식비,,연세크림빵,3400,지출,
352,355,2023-05-21 11:22,은행,식비,,감자탕-영수요롱은비뚱이,12600,지출,하현상버스킹
353,355,2023-05-21 11:22,은행,식비,,카페-영수요롱,17700,지출,
354,355,2023-05-21 11:16,은행,식비,,타코-영수(카페랑 합쳐서 최종정산,1900,지출,
